,Bowlers,Expected Middle Percentage,Expected Whiff Percentage,Expected Edge Percentage
105,TH Aspinwall,0.219298549556809,0.0106109320440505,0.06703088906795596
106,MD Rae,0.5136644914639773,0.09881504185617296,0.07770199723156022
107,CB Simmons,0.6844325535092084,0.03288750622200099,0.03740617222498755
108,MK O'Riordan,0.386326750448833,0.008371932974266905,0.06757330939557152
109,MJ Leach,0.7403737966183965,0.04558048162230671,0.07727689237656069
110,ARI Umeed,0.825566757493188,0.021833787465940054,0.05452316076294277
111,Yadvinder Singh,0.7038888149626673,0.07745560730391071,0.13091247135358913
112,JP Morley,0.0,0.0,0.030652482269503543
113,JB Lintott,0.0,0.0,0.0
114,MG Neser,0.7215074626865672,0.05969651741293532,0.05474129353233831
115,E Bosch,0.5886680790960452,0.18222369350282486,0.13487959039548023
116,SG Borthwick,0.7036288088642659,0.03877008310249308,0.10524376731301939
117,JEK Rew,0.8254587155963303,0.06439449541284403,0.03701834862385321
118,CR Woakes,0.7614726650745496,0.04967624088297941,0.0734351642677338
119,CH Stobo,0.3430962594246395,0.05618270990410658,0.05151284679013249
120,TAI Taylor,0.4494612196094061,0.10342763385146805,0.09212230636375714
121,BMJ Allison,0.3915060979859224,0.05915081190326851,0.06939027109903129
122,EA Brookes,0.47280759300799935,0.0792640199771448,0.06791488551233758
123,JPA Taylor,0.5616060472625862,0.09143402319095846,0.09496066343754586
124,JM Anderson,0.0,0.0,0.15861449275362322
125,CJ Green,0.0,0.0,0.026668112798264646
126,JW Hartshorn,0.34830671965317916,0.05971170520231214,0.08270664739884395
127,ARJ Ogborne,0.4202443740623437,0.10433305550925154,0.09479796632772128
128,A Jordan,0.1989227615764465,0.12282688903382093,0.06752278021056554
129,SM Curran,0.6259073849878936,0.14893523002421305,0.06598607748184021
130,C McKerr,0.6796136491821771,0.0987501410039481,0.16522504230118445
131,JA Boyden,0.8914034482758618,0.0034482758620689655,0.07582586206896552
132,VR Iyer,0.5096553398058252,0.06795631067961165,0.03407281553398058
133,JJ Bohannon,0.8934508196721311,0.02459016393442623,0.0737622950819672
134,WG Jacks,0.7750187500000001,0.06879375,0.0187375
135,FW McCann,0.805576112412178,0.04373185011709601,0.07183099141295862
136,N Wagner,0.7890695652173914,0.11307826086956523,0.08042826086956523
137,DM Hogg,0.6753045786330458,0.11568015925680158,0.16145852687458528
138,AJ Turner,0.8110555555555556,0.0,0.08892222222222222
