Bowler,Runs,ReleaseY,ReleaseZ,Bowler Type
MJ Potts,0,-0.6608606,1.9107908,RM
CF Parkinson,0,-0.682393,2.1013204,LOB
CF Parkinson,0,-0.6446475,2.1106496,LOB
MJ Potts,1,-0.6403882,1.9127008,RM
MJ Potts,0,-0.6800647,1.8812997,RM
MJ Potts,2,-0.6467441,1.9274056,RM
MJ Potts,0,-0.7094159,1.9211954,RM
MJ Potts,0,-0.7120313,1.929888,RM
CF Parkinson,2,-0.651853,2.1161237,LOB
CF Parkinson,1,-0.6574364,2.0250394,LOB
CF Parkinson,4,-0.6746332,2.0747238,LOB
CF Parkinson,0,-0.7471502,2.109852,LOB
PM Siddle,1,-0.5215083,1.9681122,RFM
PM Siddle,0,-0.6372703,2.0009143,RFM
PM Siddle,0,-0.6641166,1.9880004,RFM
CF Parkinson,0,-0.6393708,2.0745342,LOB
CF Parkinson,0,-0.7391197,2.1268463,LOB
CF Parkinson,0,-0.6345317,2.0837971,LOB
PM Siddle,0,-0.5183152,1.9645308,RFM
CF Parkinson,1,-0.7184735,2.1789304,LOB
CF Parkinson,0,-0.6768347,2.1215416,LOB
CF Parkinson,0,-0.6130843,2.1171477,LOB
PM Siddle,0,-0.4517846,2.0075225,RFM
PM Siddle,0,-0.6023975,2.0640654,RFM
PM Siddle,0,-0.6899663,2.0684058,RFM
CF Parkinson,0,-0.7291304,2.1103248,LOB
CF Parkinson,0,-0.6622032,2.1093882,LOB
JA Porter,0,0.7179316,1.9880814,RM
JA Porter,0,0.7201719,1.9353582,RM
JA Porter,0,0.557846,1.9411302,RM
S Snater,0,-0.8319596,2.0858405,RM
S Snater,0,-0.792703,2.0454699,RM
S Snater,0,-0.8098868,2.0438102,RM
S Snater,0,-0.8228514,2.027873,RM
S Snater,0,0.824426,1.9221986,RM
JA Porter,0,-0.9897357,1.7783304,RM
JA Porter,0,-0.8975113,1.7567264,RM
JA Porter,3,-1.0085214,1.7505657,RM
S Snater,0,0.9125369,2.0574694,RM
S Snater,0,0.8236325,2.0662432,RM
S Snater,0,0.7950876,2.040865,RM
S Snater,0,0.804904,1.9861692,RM
S Snater,0,0.9037603,2.0730028,RM
