Bowler,Runs,Batting Hand,ReleaseY,ReleaseZ,PitchX,PitchY,PastY,PastZ
S Snater,0,RHB,-0.758468,1.9991341,6.1040235,-0.2277602,-0.1025995,0.5989815
JA Porter,2,RHB,-0.9601519,1.9294543,8.4445764,-0.4852283,-0.2170679,0.9607419
JA Porter,0,RHB,-0.8856717,1.8849944,7.8689898,-0.2794274,0.380847,0.7702519
JA Porter,0,RHB,-0.9188474,1.8994939,7.6784295,-0.3902192,0.0907971,0.6207116
JA Porter,0,RHB,-0.9359105,1.9446906,8.8958382,-0.3953719,-0.0427614,0.9136089
JA Porter,0,RHB,-0.9570956,1.9616201,7.1605837,-0.4536277,-0.1739008,0.7015725
JA Porter,0,RHB,-0.9259613,1.9601802,8.7267642,-0.2855392,0.1227875,1.1329767
S Snater,1,RHB,-0.8588861,1.9708153,9.5453456,-0.3439899,0.0433273,1.0722175
S Snater,0,RHB,-0.8231163,1.985992,7.5575356,-0.4361118,-0.1386287,0.7668068
S Snater,0,RHB,-0.7941304,1.9307162,7.1404411,-0.3391103,-0.1096376,0.7815441
S Snater,0,RHB,-0.8620963,2.0062572,7.8598494,-0.4854592,-0.0507341,0.6816857
JA Porter,1,RHB,-0.9433225,1.9834391,6.8335077,-0.4297534,-0.1867972,0.6618473
JA Porter,1,RHB,-0.9848619,1.9750008,6.5629328,-0.2450329,-0.0179263,0.5927686
JA Porter,0,RHB,-0.9098789,1.9538241,6.4987135,-0.2464457,0.1387439,0.8646903
JA Porter,1,RHB,-0.9568541,1.9485857,7.5739971,-0.2811418,0.2099834,0.716661
JA Porter,1,RHB,-0.9406594,1.9596201,8.3540671,-0.2750808,0.2549175,0.7276614
S Snater,0,RHB,-0.7909816,1.97652,8.9931964,-0.4404588,0.114662,0.9640881
S Snater,0,RHB,-0.8138096,2.0225699,6.7445857,-0.3005578,0.0646012,0.6486349
S Snater,0,RHB,-0.8749183,2.0479472,6.1735857,-0.0010996,0.467567,0.7101776
S Snater,1,RHB,-0.881914,2.0696177,5.7776864,-0.3397031,-0.0434262,0.7969275
S Snater,1,RHB,-0.8886287,2.039771,7.9952259,-0.5038592,-0.1275558,0.8381012
S Snater,0,RHB,-0.8060848,2.0151122,8.344083,-0.3444361,0.0395685,0.8385059
SR Harmer,0,RHB,-0.5358008,2.2833299,3.6818136,-0.5517635,-0.1956288,0.840667
SR Harmer,0,RHB,-0.5364933,2.2825202,6.0832392,-0.4048031,-0.089224,0.8347109
SR Harmer,0,RHB,-0.6160657,2.3161946,4.4458919,-0.6915193,-0.3792337,0.7088772
S Snater,0,RHB,-0.7996518,2.0031205,7.1479607,-0.2744511,0.0812446,0.8376043
SR Harmer,0,LHB,0.8262817,2.2715022,5.8238212,0.2352933,0.4473853,0.9434573
SR Harmer,1,LHB,0.8723198,2.2852049,6.310943,0.3368532,0.5129285,0.9721381
SR Harmer,0,LHB,0.7497876,2.2461873,4.0215804,0.1449975,0.2603702,0.8673822
SR Harmer,0,LHB,0.8043583,2.3103624,5.3226105,0.0679378,0.2275725,0.9040944
SR Harmer,4,LHB,0.8345249,2.2848441,3.1012447,0.0370904,-0.0124475,0.684717
SR Harmer,0,RHB,-0.59356,2.2318757,6.1237721,-0.5524675,0.0954717,0.7625919
SR Harmer,2,RHB,-0.4951532,2.2245634,6.0584045,-0.5665649,-0.1625368,0.7853238
SR Harmer,0,LHB,0.8409559,2.3327554,3.5080356,0.3030342,0.4000704,0.6203038
SR Harmer,4,LHB,0.7733712,2.3156839,5.6624222,0.2393933,0.4978101,0.9823078
SR Harmer,0,LHB,0.8787163,2.2974211,4.6062172,0.3797883,0.4051264,0.7179055
SR Harmer,1,LHB,0.8611405,2.2645583,5.8429595,0.587279,0.9440271,0.8057398
SR Harmer,0,RHB,-0.6773394,2.3020664,5.52195,-0.8223978,-0.4670413,0.7348275
SR Harmer,3,RHB,-0.6657775,2.2559735,5.3085895,-0.7644413,-0.4220066,0.7670386
SR Harmer,0,LHB,0.8996537,2.2433706,4.4283647,0.2042867,0.4147648,0.7385185
SR Harmer,0,LHB,1.002486,2.3836277,4.460963,0.4338323,0.5800921,0.8043145
SR Harmer,0,LHB,0.8583216,2.3351156,4.314118,0.1030499,0.179914,0.6734917
SR Harmer,1,LHB,0.9736575,2.3257402,3.183678,-0.0571462,-0.2702991,0.332317
SR Harmer,0,LHB,0.9584124,2.2822632,5.1059145,0.2751941,0.4560589,0.8457335
SR Harmer,0,LHB,1.0082898,2.2903841,4.5382024,0.2309341,0.4082227,0.4646682
SR Harmer,0,RHB,-0.6108144,2.2737636,5.2290545,-0.5786126,-0.3853076,0.6753819
SR Harmer,3,RHB,-0.5233166,2.2085659,6.7213114,-0.4777176,0.0714879,0.9853252
SR Harmer,0,RHB,-0.6025803,2.3427445,3.7313149,-0.5360564,-0.0983089,0.616583
